ox,oy,dx,dy
449412.96996571304,4410242.83438027,450844.7997788027,4412431.162214708
454755.6633995987,4415916.6058870265,456086.0997071961,4427205.769110695
455263.87612553354,4426026.245212174,450106.20634077827,4424396.697217653
449075.1683488218,4424364.672189511,442580.53581553116,4427025.962833726
441847.7934535583,4425433.158392755,466647.093987184,4433604.193121403
466793.62111154466,4433367.134312828,453125.81350198964,4413364.716054249
453037.03490887134,4412974.5664044805,454630.1125558532,4417521.200367613
454395.53914045624,4416029.740701445,456931.487840923,4419537.929501839
456940.3464584414,4419593.376036495,455425.86585450766,4418388.91819953
453754.3337323092,4417585.282203909,440843.0849680594,4416451.24060505
440807.56085943215,4416390.467896129,438219.60779329407,4429458.805369277
438716.5144494608,4428632.281191722,442863.0567009138,4427016.066726112
442868.8660665287,4426993.823586547,443522.8883069305,4422161.68075629
443916.74078531034,4421815.793606626,438215.79968447785,4417190.196980192
454705.2413647361,4415920.234536459,452548.4588159582,4417210.864872823
451067.2022114499,4412431.955530733,440017.1354412379,4422855.557996987
440044.91162058414,4422694.392809839,449550.5272820868,4417856.095062383
449707.4764787954,4417806.221812081,451494.4360102146,4417344.021850932
451566.2101065599,4417339.126397564,471434.25015183084,4417529.72518004
469218.0703773523,4417374.073984856,466940.88373289374,4417365.837243602
464548.2825652026,4418645.205483267,463579.07071849646,4419353.457622099
460012.44331813324,4419261.4355901275,452923.7951755233,4420407.382140179
452686.24587740103,4420406.632252755,450461.4861874329,4418216.409310204
445580.86596712534,4411841.916918854,446326.0193164581,4409654.510478529
447033.43399415386,4411225.692022524,448763.1832876066,4407247.017877495
448766.69902759034,4410073.985028866,447895.9049823609,4411492.812743636
449115.0685931228,4411893.060202425,450576.38316394173,4411266.355085208
450575.52976464265,4411134.27894993,454550.84908645664,4409505.79231078
453696.97279958107,4411785.140891508,441127.01619483496,4414687.538156671
441131.3344480502,4414471.062820018,441417.6301799919,4414223.561779586
441628.85245491273,4415005.575820146,446613.5774518788,4419208.014333186
450695.0869420282,4423278.471206131,445666.6979577964,4414529.59349705
445377.3985016289,4414852.431194831,445052.06204921263,4416343.208084547
444004.78996653494,4417048.977334922,448189.007735647,4414094.736579513
450473.24567062117,4415944.28516017,454687.411519675,4417237.827470324
454559.0795724347,4417219.721406835,457369.72037543444,4415376.574156673
459212.38527247356,4413308.726313905,453085.5777530354,4420592.855236107
453145.72097370727,4419812.197797205,452123.270853169,4420018.336030149
458923.9755059259,4416454.670731084,458990.8827560368,4416496.488139884
453061.92678530904,4413546.026397244,452431.6232131446,4414921.797777437
452006.99008757604,4415521.597729047,448886.3841240553,4424867.637307869
451642.29214264796,4422192.4220222235,453647.8967472025,4419763.622340434
453749.3487208214,4419865.120833163,454147.54978156224,4417587.349866822
454142.4345628924,4417589.600460554,454293.5348342854,4419554.388269976
453922.36697863095,4419648.745883408,452766.21886340383,4418832.242154574
452778.83608652477,4418937.608202589,449812.9194071372,4409647.498301551
449351.5544496361,4411692.81218366,451040.11364332447,4413411.088764608
451465.8346895747,4413379.515544963,452457.3382723633,4418638.811199804
452496.89580165857,4418815.045095981,454842.92550620396,4422279.3427055655
454879.1843633056,4422343.504484965,448316.96858272783,4427160.219719553
449032.54668316536,4425907.798496171,449598.7496018342,4422306.666249547
448893.8452610312,4422542.230358105,448679.89375575824,4423118.624468774
448772.49188223406,4422153.4513967745,445787.65904182434,4418316.994995491
445664.5052245985,4418306.771272107,443198.49140150286,4418292.537925315
443073.64843939734,4418285.698388852,443012.60680864274,4418467.077574379
443495.11934804043,4419105.046784045,450252.1058991677,4421234.602955697
450366.6744635667,4423477.064777364,450847.20124997635,4424745.954345935
450952.6182558261,4423212.432043706,451515.0042662823,4423266.550165532
451734.6269489246,4423282.915020828,451313.4061039777,4412140.692116681
450814.6073014741,4412524.590622762,450802.2647087598,4419104.378702259
451067.40830514324,4419403.46813085,452747.1845657783,4412021.8150584
453913.1682827003,4421520.158325488,451695.533237077,4418863.363667769
451630.7926249399,4419840.52244856,453934.6995456732,4420275.786204864
453511.2848057387,4421044.213777897,452554.8909377353,4421954.708551151
452554.8909377353,4421954.708551151,450683.42209853587,4417244.883565099
450755.5777666768,4417564.08058243,454181.2039819743,4428436.835693344
454282.82893746486,4428445.103885689,455317.2567333997,4428573.2614416275
454111.3177471395,4427463.829698924,452571.8208269484,4428647.601438397
453630.41065244324,4428537.849018367,442877.8688400506,4431260.519486543
443656.8422079362,4431250.264945582,445305.6996665796,4427971.565131863
445278.87573413766,4426852.907365689,440586.75190639583,4426338.647778814
440988.74422752066,4426206.763191771,445631.5245806895,4426619.5065834
447141.79975017515,4427835.381095032,449625.5245247189,4426483.250055905
451982.74234663905,4423347.944286647,451600.8162483577,4422790.946812499
452965.03705777164,4422936.687253938,454264.71853512386,4420021.844324637
454311.8017012375,4420035.991338629,451280.8050686198,4421236.840059128
451153.4251794618,4421625.0263235085,460832.9615824331,4429746.0367902545
466559.67974916904,4433704.471968508,453256.336719702,4417781.444157853
451999.15703351196,4422835.045177685,455191.29617234296,4425009.962670316
455211.0593183808,4424885.532715374,440704.9510075551,4412090.1694211885
442462.67123983055,4415017.009982951,440686.11522962025,4412088.095585302
440511.5300832142,4411968.466484302,455722.88599088555,4416401.52527588
454866.04597823764,4417667.422673054,457638.5134305971,4415895.632535742
456831.23183418525,4415862.415298276,453562.8540755154,4417584.224766839
453126.5516637891,4417525.844966012,454355.3637895435,4417747.044669877
454331.1521473739,4417700.572304985,450303.6377594282,4416420.440844371
450632.7369382229,4417338.446137326,450414.14630670083,4424340.298623747
451747.48096934234,4423289.493299825,451901.13056481484,4425032.252424592
450589.6392457559,4422691.990521815,446315.87249441346,4423534.498534998
446683.8348636574,4423631.811216798,446257.0464188962,4419429.178400829
446102.48048485164,4419203.838055618,445960.31217124895,4417713.066172437
445278.83748933196,4418161.902828888,444257.13574137667,4417538.8411835525
444142.62061569764,4418010.299994328,464758.70865722094,4436562.95137764
455899.055810539,4426160.17230032,456733.33159981295,4424823.455096958
455504.9010882609,4425044.752028267,455390.95553174627,4426730.315120742
455520.75539263245,4426735.105212105,457176.6939069467,4425153.931156372
456882.52015436324,4424627.259575794,451378.5981452356,4425314.168710293
451374.9251699503,4425942.425667276,451588.61523803463,4424634.650204694
450557.20479263447,4424407.075808433,453367.52577435784,4426729.12384377
453388.3865686439,4426650.189570664,451749.6916952024,4419048.3811070975
451408.29319086316,4419522.273049191,450637.20070938783,4420406.299916816
450908.2579812492,4420966.1828257,450653.6324320904,4421624.915136655
450909.8611547313,4421613.271411419,445982.1938408262,4416335.462163201
445975.3889934374,4415615.153312313,446754.5826716088,4414793.871772891
446499.2791985939,4414847.822694167,439172.0848747367,4410917.88234915
444132.1415433202,4415526.29696681,447054.51272888447,4412787.2310236655
447016.2826007467,4412454.513661435,441616.73474453075,4410169.596617725
441558.53680146113,4410167.820995887,445661.54636514874,4438923.412570268
448047.7801499206,4439219.7016887665,449125.09201273246,4437299.899279599
449584.6264472719,4432032.228985484,446565.9606882367,4426917.020242182
446621.9846358079,4426749.022176054,443693.32025464514,4432257.858768595
443991.9630208538,4431104.600499464,443663.7872226646,4429654.061724501
444191.70360631746,4428555.732032759,443951.7729102507,4424255.242593487
444927.2033512694,4422967.2281237235,440984.9845514102,4425721.731233945
440965.8085997331,4425891.706742563,436404.8964249343,4420029.96526283
436285.3119614528,4420036.513137881,434449.4056762204,4420499.394977157
435652.7928669522,4420323.758979314,435511.0417847542,4422053.205815862
438815.1322337561,4423163.698472823,447671.4976345335,4422056.594455427
447834.94328106334,4422096.542521434,451545.09022853774,4421146.360331053
451554.90428449237,4421211.784726633,452347.3229865314,4422095.856324075
452244.4795750119,4422179.745834935,452131.46393600653,4419281.2837374415
451952.91445724305,4419291.285613144,446174.7127516179,4417812.5569424555
446160.590650711,4417749.389285398,448032.35476649913,4420727.731261117
448929.88600590883,4421546.361319451,448311.86904565105,4427163.584242259
448742.57810180297,4422151.432588478,436659.19813051075,4419986.779971928
437235.1288793357,4419980.909232152,438314.4396796266,4419874.426619193
438379.40844065737,4420300.132531,438391.65627437027,4420758.454231455
439674.1787142514,4421832.646441941,442565.3837940498,4419802.386417109
442583.3813342698,4419695.694342256,442976.67488907673,4414226.198500053
445982.51497167576,4417226.750162895,450624.9978981118,4418388.500691873
450440.4163813639,4418657.19337658,452404.3158001124,4418633.592033066
452521.1331280114,4420511.9928691555,448945.012966941,4427242.5574476635
448693.8283710808,4427214.27778046,442106.66556973197,4427021.782916088
454103.7290666523,4421668.850689409,448461.83646968583,4422198.833729567
448405.0323459742,4422389.020197413,450874.8129385869,4421610.167329895
450918.3971214253,4421612.106504831,454702.86596379644,4418113.472184699
454592.34851635055,4417926.550239093,453068.35767471616,4418209.923043005
453080.56898104056,4418249.805676109,441144.18134186993,4425327.566590662
441860.43789858953,4424740.436980806,442917.5383748717,4425400.644453331
442814.0039924263,4425259.344676966,444921.9735117207,4425197.187533768
446546.1524332224,4425190.053283556,452743.0361594097,4417572.606967275
452803.73893021425,4417298.077290095,454751.2665915137,4420365.242632567
454842.8045401799,4420094.985585475,449717.37090494664,4418270.113104799
449721.2918793223,4417957.083106125,441376.8015328111,4416369.427364188
443521.7241816856,4415884.861507847,442551.7439355442,4415945.37374696
442592.29793721135,4415880.691268188,448197.5968890634,4411196.630503217
448176.88279595505,4411548.6204386875,441155.48796932824,4425354.118682249
441863.5301510643,4424586.126853709,451692.9747371891,4419134.205446673
453439.3492445328,4416114.315412213,454873.31239712867,4419618.642679861
453624.96248154866,4423016.998377436,453505.02337237063,4420717.92952933
453506.85223203513,4420877.749749808,438643.4137733273,4418700.750357662
439137.5864005096,4418183.986074815,441880.36906927964,4415357.735001843
441884.4540827626,4415557.496509187,441460.4869298573,4417136.879254777
441455.57682369574,4417499.874878775,469370.96911882726,4440870.598102145
466697.90975344693,4433716.0738735655,446004.04424652416,4409985.317179611
446014.37817797693,4412661.311802009,442534.4906474772,4402818.166851894
447247.74966092047,4411909.042910622,450024.55240236275,4412701.753520341
451230.01094174216,4412879.32741198,451345.3033614012,4409354.571574318
452166.78645422176,4410175.176689725,450846.78442953236,4412872.902289974
453892.58472661657,4423342.807705348,453426.1604145204,4422494.31741643
452935.35686319007,4422003.407408869,456383.50397379324,4422787.601932121
447673.0947616505,4422786.934689328,447864.8699950586,4420850.969266842
451063.25035330886,4423281.6475635925,443173.1655838054,4420858.959987718
