origin	destination	number
262	311	22
293	54	3
54	96	2
96	129	11
108	543	1
543	557	21
521	490	45
490	469	16
469	459	15
459	85	1
85	94	7
125	181	6
183	166	13
183	143	7
106	88	6
109	125	28
148	444	2
444	359	6
359	357	21
371	376	5
395	438	60
438	225	32
225	321	15
321	286	14
286	304	8
304	355	19
353	354	8
396	501	1
501	442	5
257	539	2
533	468	16
532	534	8
498	555	30
543	318	8
324	355	3
385	475	21
500	422	1
514	479	18
472	335	1
296	202	7
210	222	20
248	567	1
550	553	32
533	434	12
333	248	46
196	241	20
248	242	35
248	375	39
375	469	13
498	452	22
424	375	81
376	333	30
333	513	8
513	333	14
237	226	11
226	266	5
266	304	5
298	133	3
225	376	34
376	256	12
253	523	6
21	21	13
63	237	12
177	112	5
216	369	9
503	485	10
416	272	13
277	184	38
176	147	23
285	308	68
308	285	101
312	369	8
369	215	6
215	394	2
394	175	8
142	59	22
60	51	6
9	369	1
404	451	18
451	369	6
430	471	4
471	540	25
540	527	29
503	461	19
461	453	75
453	285	10
291	236	47
236	155	1
117	442	2
442	419	19
441	386	40
386	311	22
239	96	1
88	179	2
177	152	7
149	147	22
144	77	3
67	17	3
104	83	20
163	308	10
291	382	4
387	312	1
291	413	46
413	330	4
330	332	17
332	438	3
583	564	30
563	506	32
503	528	8
453	461	42
413	190	9
67	23	9
516	491	14
516	530	92
583	567	11
542	561	5
561	564	33
545	290	3
290	219	7
211	360	1
360	435	11
435	435	36
384	507	14
507	77	1
67	96	4
96	237	9
303	347	5
347	285	10
303	203	7
583	342	2
362	529	3
529	362	4
362	269	3
269	387	2
419	468	39
468	231	9
237	343	25
343	448	1
383	469	6
470	302	2
302	95	1
158	33	1
142	132	6
107	116	16
108	67	1
67	147	5
152	179	11
179	116	11
564	146	9
122	88	40
97	267	4
272	203	21
203	454	1
433	458	1
469	575	2
129	416	1
416	365	28
365	369	73
562	142	1
148	128	12
142	159	87
146	142	11
146	149	2
22	372	1
372	455	2
170	394	14
394	395	93
398	290	32
253	300	30
300	327	2
327	558	5
558	452	10
452	373	22
333	447	3
447	461	94
307	143	8
173	175	91
175	142	85
174	229	18
251	287	5
287	403	8
418	530	6
479	419	14
419	335	1
335	174	1
142	199	25
199	110	1
290	170	8
267	283	15
283	210	4
171	295	3
295	267	22
267	181	8
198	239	7
239	325	2
366	425	3
425	375	5
333	287	47
287	160	5
381	499	22
499	570	25
564	530	11
545	295	6
295	310	12
310	276	11
306	393	33
393	392	15
423	541	11
541	320	1
285	320	64
277	273	28
273	436	5
436	461	67
461	435	38
514	330	2
330	273	4
274	203	7
203	319	3
319	399	17
399	414	30
410	238	3
408	394	8
394	307	28
307	232	2
231	273	44
273	272	47
